Date,Tag,Commit,ROM,Preset,CPU,MIPS,Notes,StdDev,Samples,RunMedians
2026-03-21,2.2.2,8bb6b4515,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,241.44,,6.51,69,238.4|241.4|244.5
2026-04-06,2.2.3,230d74f42,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1027.18,,17.47,102,1027.2|1029.6|1016.9
2026-04-06,2.2.3,230d74f42,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,354.92,,13.21,70,355.5|347.6|354.9
2026-04-06,2.2.3,230d74f42,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,610.26,,10.36,90,612.1|610.3|604.4
2026-04-06,2.2.3,230d74f42,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,238.42,,6.91,70,235.9|238.4|243.5
2026-05-26,2.2.6,26cec5578,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1041.00,,10.57,105,1036.9|1041.0|1041.4
2026-05-26,2.2.6,26cec5578,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,351.34,,15.61,69,351.3|349.2|353.6
2026-05-26,2.2.6,26cec5578,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,607.58,,12.41,90,607.6|609.0|607.0
2026-05-26,2.2.6,26cec5578,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,237.82,,7.07,69,236.9|238.3|237.8
2026-07-29,2.2.9,6ff5ef3b1,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,988.62,,52.03,99,953.0|999.7|988.6
2026-07-29,2.2.9,6ff5ef3b1,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,347.50,,13.39,69,347.5|348.3|346.0
2026-07-29,2.2.9,6ff5ef3b1,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,587.79,,10.15,88,587.4|587.8|589.1
2026-07-29,2.2.9,6ff5ef3b1,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,236.73,,5.42,69,236.7|235.2|240.1
2026-08-26,HEAD,54f216436,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Ryzen 9 7950X3D,1482.08,,51.93,148,1482.1|1488.5|1479.7
2026-08-26,HEAD,54f216436,Virus_C_OS_Flash_V6_5.BIN,Impact  MS,Cortex-A76 2.4GHz,420.78,,31.68,82,431.6|420.8|415.1
2026-08-26,HEAD,54f216436,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Ryzen 9 7950X3D,751.33,,49.93,110,742.7|751.3|772.4
2026-08-26,HEAD,54f216436,Virus_C_OS_Flash_V6_5.BIN,IndiArp BC,Cortex-A76 2.4GHz,260.10,,7.69,75,260.1|258.0|260.5
